# 鎮痛薬 Q&A

## 鎮痛薬の分類

Q: 鎮痛薬の2大分類は？
A: 麻薬性鎮痛薬と解熱性鎮痛薬

Q: オピオイド系鎮痛薬の代表的薬物は？（2つ）
A: モルヒネ、フェンタニル

Q: 麻薬拮抗性鎮痛薬の代表的薬物は？
A: ペンタゾシン

Q: 麻薬拮抗薬の代表的薬物は？
A: ナロキソン

Q: アニリン系鎮痛薬の代表的薬物は？
A: アセトアミノフェン

Q: 神経障害性疼痛治療薬の代表的薬物は？
A: プレガバリン

---

## オピオイド系鎮痛薬

Q: オピオイド系鎮痛薬が結合する受容体は？
A: オピオイド受容体（μ＞κ, δ）

Q: オピオイド系鎮痛薬の主な作用は？（3つ）
A: 鎮痛・鎮静作用、鎮咳作用、止瀉作用

Q: がん性疼痛治療に使用されるオピオイドは？（代表的な2つ）
A: モルヒネ、オキシコドン

Q: 全身麻酔の導入に使用されるオピオイドは？
A: レミフェンタニル

Q: オピオイドの最も重要な副作用は？
A: 呼吸抑制

Q: オピオイドの消化器系副作用は？（2つ）
A: 悪心・嘔吐、便秘

Q: オピオイドが禁忌となる呼吸器疾患は？
A: 気管支喘息発作時

Q: オピオイドで耐性が生じにくい副作用は？
A: 便秘

---

## 麻薬拮抗性鎮痛薬（国試出題）

Q: ペンタゾシンが結合するオピオイド受容体は？
A: κ-オピオイド受容体

Q: ペンタゾシンのμ受容体に対する作用は？
A: 部分拮抗薬として作用
   [混同注意] κ受容体には部分作用薬として作用

Q: ペンタゾシンの臨床適用は？
A: がん性疼痛治療

---

## 麻薬拮抗薬

Q: ナロキソンが結合する受容体は？
A: μ-オピオイド受容体

Q: ナロキソンのμ受容体に対する作用は？
A: 完全拮抗薬

Q: ナロキソンの臨床適用は？
A: オピオイドによる急性中毒（呼吸抑制）の解毒

---

## アセトアミノフェン（アニリン系）

Q: アセトアミノフェンの分類は？
A: アニリン系鎮痛薬
   [混同注意] NSAIDsではない

Q: アセトアミノフェンの鎮痛作用の機序は？
A: 視床や大脳皮質における疼痛閾値を上昇（中枢性鎮痛作用）

Q: アセトアミノフェンの末梢でのCOX阻害作用は？
A: ほとんどない
   [混同注意] NSAIDsのような抗炎症作用はない

Q: 小児の発熱・疼痛に使用できる鎮痛薬は？
A: アセトアミノフェン

Q: 小児にNSAIDsが原則禁忌である理由は？
A: Reye症候群のリスク

Q: アセトアミノフェンの過剰投与による副作用は？
A: 肝障害

Q: アセトアミノフェン中毒の解毒薬は？
A: アセチルシステイン

---

## 神経障害性疼痛治療薬

Q: プレガバリンの作用機序は？
A: シナプス前終末のCa²⁺チャネルに結合し、神経伝達物質の遊離を抑制

Q: プレガバリンの適応疾患は？（2つ）
A: 帯状疱疹後神経痛、糖尿病性末梢神経障害

Q: プレガバリンの副作用は？（2つ）
A: めまい、傾眠

---

## WHOの3段階除痛ラダー（がん性疼痛治療）

Q: WHO除痛ラダーの第1段階で使用する薬物は？
A: NSAIDsやアセトアミノフェン

Q: WHO除痛ラダーの第2段階で追加する薬物は？
A: 弱いオピオイド（コデイン、ジヒドロコデイン）

Q: WHO除痛ラダーの第3段階で使用する薬物は？
A: 強いオピオイド（モルヒネ、オキシコドン、フェンタニル）

Q: 弱いオピオイドの代表的薬物は？（2つ）
A: コデイン、ジヒドロコデイン

Q: 強いオピオイドの代表的薬物は？（2つ）
A: モルヒネ、フェンタニル

---

## まとめ：鎮痛薬の選択

Q: 一般的な歯痛や術後痛に使用する鎮痛薬は？
A: NSAIDs、アセトアミノフェン

Q: 胃潰瘍患者の疼痛に使用する鎮痛薬は？
A: アセトアミノフェン（NSAIDsは禁忌）

Q: 神経障害性疼痛に使用する薬物は？
A: プレガバリン

---

## 過去問で確認

[113A24] ★★★
Q: ペンタゾシンの分類は？
A: 麻薬拮抗性鎮痛薬

[他の選択肢との違い]
- セレコキシブ：COX-2選択的阻害薬（×COX-1） ← ひっかけ
- プレガバリン：神経障害性疼痛治療薬（×麻薬性鎮痛薬）
- ペンタゾシン：麻薬拮抗性鎮痛薬 ← 正解
- チアラミド塩酸塩：塩基性NSAIDs（×酸性）
- アセトアミノフェン：アニリン系鎮痛薬（×塩基性NSAIDs） ← ひっかけ

[ポイント]
- ペンタゾシン = 麻薬「拮抗性」鎮痛薬（κ受容体に作用、μ受容体には拮抗）
- アセトアミノフェン = アニリン系（NSAIDsではない）
- セレコキシブ = COX-2選択的（胃障害が少ない）
