file,pageTitle,section,tableIndex,headers,rowCount
html/subject/歯科理工学/01_材料の組成・物性_有機材料.html,有機材料,I. 材料の分類,0,分類 | 定義 | 例,3
html/subject/歯科理工学/01_材料の組成・物性_有機材料.html,有機材料,III. 高分子の分類,3,分類 | 歯科材料の例,2
html/subject/歯科理工学/01_材料の組成・物性_有機材料.html,有機材料,V. ラジカル重合,5,段階 | 内容,3
html/subject/歯科理工学/01_材料の組成・物性_機械的性質：応力とひずみ.html,機械的性質：応力とひずみ,IV. エネルギー,2,項目 | 定義 | 曲線上の領域,2
html/subject/歯科理工学/01_材料の組成・物性_機械的性質：硬さ.html,機械的性質：硬さ,I. 硬さの分類,0,分類 | 評価方法 | 試験法,3
html/subject/歯科理工学/01_材料の組成・物性_機械的性質：硬さ.html,機械的性質：硬さ,III. その他の硬さ試験法,2,試験法 | 原理 | 特徴,2
html/subject/歯科理工学/01_材料の組成・物性_機械的性質：硬さ.html,機械的性質：硬さ,III. その他の硬さ試験法,3,試験法 | 原理 | 特徴,1
html/subject/歯科理工学/01_材料の組成・物性_無機材料.html,無機材料,III. セラミックスの分類,2,分類 | 材料 | 化学式,9
html/subject/歯科理工学/01_材料の組成・物性_無機材料.html,無機材料,IV. 歯科材料に用いられるセラミックス,3,材料 | 用途,5
html/subject/歯科理工学/01_材料の組成・物性_無機材料.html,無機材料,IV. 歯科材料に用いられるセラミックス,4,材料 | 用途,4
html/subject/歯科理工学/01_材料の組成・物性_無機材料.html,無機材料,V. 金属の特徴,5,性質 | 原因,3
html/subject/歯科理工学/01_材料の組成・物性_無機材料.html,無機材料,V. 金属の特徴,6,分類 | 材料,2
html/subject/歯科理工学/01_材料の組成・物性_物理的性質：密度.html,物理的性質：密度,I. 密度・比重の定義,0,用語 | 定義 | 単位,2
html/subject/歯科理工学/01_材料の組成・物性_物理的性質：熱伝導率.html,物理的性質：熱伝導率,III. 臨床的意義,1,臨床例 | 関連する熱伝導,3
html/subject/歯科理工学/01_材料の組成・物性_生物学的性質：生体為害性.html,生物学的性質：生体為害性,細胞毒性,0,毒性 | 金属 | 備考,2
html/subject/歯科理工学/01_材料の組成・物性_生物学的性質：生体為害性.html,生物学的性質：生体為害性,金属アレルギー,1,材料 | Cr含有 | Crアレルギー患者,5
