file,pageTitle,section,tableIndex,headers,rowCount
html/subject/生化学/01_総論_タンパク質の合成（翻訳）.html,タンパク質の合成（翻訳）,III. 転写（Transcription）,1,種類 | 機能,3
html/subject/生化学/01_総論_タンパク質の合成（翻訳）.html,タンパク質の合成（翻訳）,IV. 翻訳（Translation）,2,段階 | 内容,4
html/subject/生化学/01_総論_細胞.html,細胞の構造・機能・細胞死,III. 細胞骨格,0,種類 | 構成タンパク質 | 機能・特徴,3
html/subject/生化学/01_総論_細胞.html,細胞の構造・機能・細胞死,IV. 細胞接着,1,結合様式 | 特徴,5
html/subject/生化学/01_総論_細胞.html,細胞の構造・機能・細胞死,V. 細胞周期,2,略称 | 名称,6
html/subject/生化学/01_総論_遺伝子工学.html,遺伝子工学,I. 制限酵素,0,酵素名 | 認識配列 | 切断末端,2
html/subject/生化学/02_歯と歯周組織_コラーゲンの代謝.html,コラーゲンの代謝,II. コラーゲンの分解,0,MMP | 別名 | 基質,3
html/subject/生化学/02_歯と歯周組織_コラーゲンの代謝.html,コラーゲンの代謝,III. コラーゲンの変性（ゼラチン化）,1,項目 | コラーゲン | ゼラチン,3
html/subject/生化学/02_歯と歯周組織_コラーゲンの代謝.html,コラーゲンの代謝,IV. コラーゲン分解産物,2,アミノ酸 | 特徴,2
html/subject/生化学/02_歯と歯周組織_コラーゲンの生合成.html,コラーゲンの生合成,I. コラーゲンの基本,0,型 | 組織分布 | 関連疾患,4
html/subject/生化学/02_歯と歯周組織_歯根膜のコラーゲン.html,歯根膜のコラーゲン,I. 歯根膜の概要,0,部位 | 幅,3
html/subject/生化学/02_歯と歯周組織_歯根膜のコラーゲン.html,歯根膜のコラーゲン,III. コラーゲンの種類と分布,1,型 | 組織分布 | 関連疾患,4
html/subject/生化学/02_歯と歯周組織_歯根膜のコラーゲン.html,歯根膜のコラーゲン,III. コラーゲンの種類と分布,2,型 | 分類 | 組織分布,2
html/subject/生化学/02_歯と歯周組織_硬組織の石灰化.html,硬組織の石灰化,III. 石灰化の促進因子と抑制因子,1,因子 | 機能,4
html/subject/生化学/02_歯と歯周組織_硬組織の石灰化.html,硬組織の石灰化,IV. 基質小胞,2,細胞 | 形成する硬組織,3
html/subject/生化学/02_歯と歯周組織_象牙質の成分.html,象牙質の成分,III. 象牙質タンパク質の生成,1,段階 | 内容,3
html/subject/生化学/02_歯と歯周組織_非コラーゲンタンパク.html,非コラーゲンタンパク,I. 骨の組成と非コラーゲン性タンパク質,0,タンパク質 | 特徴,6
html/subject/生化学/02_歯と歯周組織_非コラーゲンタンパク.html,非コラーゲンタンパク,II. Glaタンパク質（ビタミンK依存性）,1,タンパク質 | 存在部位 | 機能,3
html/subject/生化学/02_歯と歯周組織_非コラーゲンタンパク.html,非コラーゲンタンパク,III. RGD配列を持つタンパク質,2,タンパク質 | 存在部位,4
html/subject/生化学/02_歯と歯周組織_非コラーゲンタンパク.html,非コラーゲンタンパク,VI. まとめ,4,誤り | 正しい内容,3
html/subject/生化学/03_軟骨・骨_軟骨.html,軟骨,I. 軟骨組織の特徴,0,成分 | 割合 | 詳細,3
html/subject/生化学/03_軟骨・骨_軟骨.html,軟骨,I. 軟骨組織の特徴,1,項目 | 軟骨 | 骨,4
html/subject/生化学/03_軟骨・骨_軟骨.html,軟骨,III. 軟骨内骨化,3,骨化様式 | 特徴 | 形成される骨,2
html/subject/生化学/03_軟骨・骨_骨.html,骨,I. 骨の組成,0,成分 | 割合 | 詳細,3
html/subject/生化学/03_軟骨・骨_骨.html,骨,I. 骨の組成,1,項目 | 軟骨 | 骨,4
html/subject/生化学/03_軟骨・骨_骨.html,骨,IV. 破骨細胞による骨吸収メカニズム,4,段階 | 酵素 | 作用,2
html/subject/生化学/03_軟骨・骨_骨.html,骨,V. RANKL-RANK-OPG系,5,因子 | 産生細胞 | 作用,4
html/subject/生化学/03_軟骨・骨_骨.html,骨,VII. まとめ,6,誤り | 正しい内容,3
html/subject/生化学/04_体液_体液.html,体液,II. 血液の成分,2,成分 | 割合 | 内容,2
html/subject/生化学/04_体液_体液.html,体液,II. 血液の成分,3,タンパク質 | 特徴 | 機能,3
html/subject/生化学/04_体液_体液.html,体液,IV. 体液調節に関わるホルモン,5,ホルモン | 産生部位 | 作用,3
html/subject/生化学/04_体液_体液.html,体液,VI. まとめ,6,誤り | 正しい内容,3
html/subject/生化学/05_カルシウム代謝_血清カルシウム濃度の恒常性.html,血清カルシウム濃度の恒常性,I. 血清カルシウム濃度の恒常性,0,器官 | 役割,3
html/subject/生化学/05_カルシウム代謝_血清カルシウム濃度の恒常性.html,血清カルシウム濃度の恒常性,I. 血清カルシウム濃度の恒常性,1,ホルモン | 十二指腸 | 骨 | 腎臓,3
html/subject/生化学/05_カルシウム代謝_血清カルシウム濃度の恒常性.html,血清カルシウム濃度の恒常性,IV. 活性型ビタミンD,5,標的器官 | 作用,3
html/subject/生化学/05_カルシウム代謝_血清カルシウム濃度の恒常性.html,血清カルシウム濃度の恒常性,V. 3つの調節因子の比較,6,項目 | カルシトニン | PTH | 活性型ビタミンD,4
html/subject/生化学/05_カルシウム代謝_血清カルシウム濃度の恒常性.html,血清カルシウム濃度の恒常性,VII. まとめ,7,誤り | 正しい内容,3
html/subject/生化学/06_唾液・唾液腺_唾液の構成成分とその機能.html,唾液の構成成分とその機能,I. 唾液の基本情報,0,項目 | 数値,3
html/subject/生化学/06_唾液・唾液腺_唾液の構成成分とその機能.html,唾液の構成成分とその機能,I. 唾液の基本情報,1,唾液腺 | 安静時の割合 | 特徴的な成分,3
html/subject/生化学/06_唾液・唾液腺_唾液の構成成分とその機能.html,唾液の構成成分とその機能,III. 有機成分の作用,3,成分 | 機能,4
html/subject/生化学/06_唾液・唾液腺_唾液の構成成分とその機能.html,唾液の構成成分とその機能,V. まとめ：唾液の有機成分と役割,4,有機成分 | 抗菌 | 潤滑 | 消化 | 粘膜保護 | 創傷治癒 | 再石灰化,11
html/subject/生化学/07_炎症のケミカルメディエーター_ケミカルメディエーター.html,ケミカルメディエーター,III. アラキドン酸カスケード,2,薬剤 | 阻害する酵素 | 効果,2
html/subject/生化学/07_炎症のケミカルメディエーター_ケミカルメディエーター.html,ケミカルメディエーター,VI. まとめ,4,誤り | 正しい内容,3
html/subject/生化学/07_炎症のケミカルメディエーター_サイトカイン.html,サイトカイン,VI. まとめ,3,誤り | 正しい内容,3
