file,pageTitle,section,tableIndex,headers,rowCount
html/subject/保存修復学/01_齲蝕学_齲蝕の分類と診断.html,齲蝕の分類と診断,齲蝕検知液,4,染色 | 組織 | 対応,2
html/subject/保存修復学/02_歯の損耗_損耗と知覚過敏.html,歯の損耗と知覚過敏,1. Tooth Wear（歯の損耗）,0,種類 | 原因 | 好発部位,4
html/subject/保存修復学/02_歯の損耗_損耗と知覚過敏.html,歯の損耗と知覚過敏,2. 象牙質知覚過敏症,3,薬剤 | 作用機序,5
html/subject/保存修復学/03_診査と準備_術前診査と準備.html,術前診査と準備,2. 色調採得（シェードテイキング）,1,留意点 | 理由,4
html/subject/保存修復学/04_窩洞形成の基礎_原則と器具.html,原則と器具,窩洞が具備すべき6要件,0,要件 | 内容,6
html/subject/保存修復学/04_窩洞形成の基礎_原則と器具.html,原則と器具,窩洞が具備すべき6要件,2,効力 | 作用 | 基本形態,3
html/subject/保存修復学/04_窩洞形成の基礎_原則と器具.html,原則と器具,回転切削器械,4,種類 | 速度 | 用途,3
html/subject/保存修復学/04_窩洞形成の基礎_術野確保法.html,術野確保法,ウェッジの使用目的,1,目的 | タイミング,5
html/subject/保存修復学/04_窩洞形成の基礎_術野確保法.html,術野確保法,隔壁法,3,器具 | 適応,4
html/subject/保存修復学/04_窩洞形成の基礎_術野確保法.html,術野確保法,隔壁法,4,タイミング | 器具,2
html/subject/保存修復学/05_直接修復_CRの基礎と特性.html,CRの基礎と特性,CRの組成,0,成分 | 内容,4
html/subject/保存修復学/05_直接修復_CRの基礎と特性.html,CRの基礎と特性,CRの種類（フィラーによる分類）,1,種類 | フィラー配合率 | 機械的性質 | 適応部位,4
html/subject/保存修復学/05_直接修復_CRの基礎と特性.html,CRの基礎と特性,歯面処理の基本,2,酸処理材 | 濃度 | 用途,3
html/subject/保存修復学/05_直接修復_CRの基礎と特性.html,CRの基礎と特性,接着システムの分類,3,システム | 構成 | 歯面処理,4
html/subject/保存修復学/05_直接修復_CRの基礎と特性.html,CRの基礎と特性,接着システムの分類,4,モノマー | 系統 | 特徴,4
html/subject/保存修復学/05_直接修復_アマルガム修復.html,アマルガム修復,I. 歯科用アマルガムの概要,0,特性 | 内容,4
html/subject/保存修復学/05_直接修復_アマルガム修復.html,アマルガム修復,III. アマルガム除去時の水銀対策,1,対応 | 適否 | 理由,5
html/subject/保存修復学/05_直接修復_グラスアイオノマーセメント修復.html,グラスアイオノマーセメント修復,I. グラスアイオノマーセメント（GI）とは,0,種類 | 組成 | 硬化機序,2
html/subject/保存修復学/05_直接修復_グラスアイオノマーセメント修復.html,グラスアイオノマーセメント修復,II. GIの性質,1,性質 | 内容,4
html/subject/保存修復学/05_直接修復_グラスアイオノマーセメント修復.html,グラスアイオノマーセメント修復,III. 適応症と禁忌症,2,適応症 | 禁忌症,1
html/subject/保存修復学/05_直接修復_光重合と仕上げ.html,光重合と仕上げ,コントラクションギャップ,1,窩洞 | C値 | 重合収縮応力の影響,4
html/subject/保存修復学/05_直接修復_光重合と仕上げ.html,光重合と仕上げ,CR修復後の仕上げ,2,器具 | 用途,3
html/subject/保存修復学/06_変色歯治療_診断と治療.html,変色歯の診断と治療,変色歯の分類,0,分類 | 原因 | 特徴,9
html/subject/保存修復学/06_変色歯治療_診断と治療.html,変色歯の診断と治療,エナメル質形成不全,2,原因 | 発現パターン | 具体例,2
html/subject/保存修復学/06_変色歯治療_診断と治療.html,変色歯の診断と治療,変色歯の治療法,3,方法 | 処置部位 | 適応,3
html/subject/保存修復学/06_変色歯治療_診断と治療.html,変色歯の診断と治療,ベニア修復（ラミネートベニア修復）,4,特徴 | 説明,4
html/subject/保存修復学/06_変色歯治療_診断と治療.html,変色歯の診断と治療,変色歯の治療選択,5,変色の程度 | 推奨される治療法,4
html/subject/保存修復学/07_間接修復_インレー総論.html,インレー総論,II. 保持形態と保持効力,0,効力 | 作用 | 関連する形態,5
html/subject/保存修復学/07_間接修復_インレー総論.html,インレー総論,II. 保持形態と保持効力,2,形態 | 効果,6
html/subject/保存修復学/07_間接修復_セラミック・コンポジットインレー.html,セラミック・コンポジットインレー,間接法の特徴,0,項目 | 間接法 | 直接法,4
html/subject/保存修復学/07_間接修復_セラミック・コンポジットインレー.html,セラミック・コンポジットインレー,セラミックインレーの特徴,1,長所 | 短所,1
html/subject/保存修復学/07_間接修復_セラミック・コンポジットインレー.html,セラミック・コンポジットインレー,修復手順,3,処理 | 目的,2
html/subject/保存修復学/07_間接修復_メタルインレー.html,メタルインレー,I. メタルインレーの特徴,0,長所 | 短所,1
html/subject/保存修復学/07_間接修復_メタルインレー.html,メタルインレー,V. 鋳造欠陥と対策,3,欠陥 | 原因 | 対策,5
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,I. 合着と接着の違い,0,合着 | 接着,1
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,II. 合着用セメントの種類と特徴,1,長所 | 短所,1
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,II. 合着用セメントの種類と特徴,2,長所 | 短所,1
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,II. 合着用セメントの種類と特徴,3,長所 | 短所,1
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,II. 合着用セメントの種類と特徴,4,長所 | 短所,1
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,II. 合着用セメントの種類と特徴,5,種類 | 特徴,2
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,II. 合着用セメントの種類と特徴,6,長所 | 短所,1
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,III. 修復物内面の前処理,7,修復物 | 処理 | 目的,6
html/subject/保存修復学/07_間接修復_合着用セメント.html,合着用セメント,IV. 歯面の前処理,8,セメント | 歯面処理,5
