problem_code,panel,grade,score,reasons,text,image_path
102A81,B,B,0.55,symbol_noise,オエ、ウ、・・：硬結の範囲…・・…・・：漬稿の範囲●：採取部位,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102A81-ab.png
102C30,A,B,0.45,"pattern_noise,low_medical_signal",膨隆、11 2,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102C30-b.png
102C30,B,A,1.0,,①歯牙様 （硬組織様） 不透過像、②不透過像の周囲は透過帯が確、埋伏している1」、③さらに透過帯の周囲には一層,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102C30-b.png
102C7,B,A,1.0,,下顎音、顎下腺、腫脹、不規則な高倉号（炎症による）、壊死または変性物質、一内腔、重層編平上皮層、リンバ組織、線維性嚢胞壁、＞多数のリンパ球浸潤,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102C7-abc.png
102C7,C,C,0.35,"too_short,low_medical_signal",胚中心,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102C7-abc.png
102D23,A,C,0.35,"symbol_noise,low_medical_signal",茎状突起ー、気道,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102D23-abcd.png
102D23,B,C,0.0,"too_short,pattern_noise,low_medical_signal",0ク,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102D23-abcd.png
102D23,C,C,0.35,"too_short,low_medical_signal",ウ、エ,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102D23-abcd.png
102D27,A,A,0.8,low_medical_signal,｜産和感」／暗赤色の腫語だが、排膿が、あることから痩孔（外歯,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102D27-abc.png
102D27,B,A,1.0,,口内法エックス線写真では上顎右側中切歯、側切歯、の根部を含む、境界明瞭、単房性、透過像、中切、歯近心歯冠部に透過像、歯槽硬線の消失がみられ、る。病変と切歯管との関連性はない,/Users/saitouryuuichi/Desktop/国試データベース/国家試験過去問/国試画像まとめ/102回/102D27-abc.png
