file,pageTitle,section,tableIndex,headers,rowCount
html/subject/病理学/06_総論_代謝異常_水電解質代謝異常.html,代謝異常：水・電解質代謝異常,I. 脱水,0,分類 | Na濃度 | 原因,3
html/subject/病理学/06_総論_代謝異常_水電解質代謝異常.html,代謝異常：水・電解質代謝異常,I. 脱水,1,所見 | 機序,5
html/subject/病理学/06_総論_代謝異常_水電解質代謝異常.html,代謝異常：水・電解質代謝異常,II. 浮腫,2,原因 | 機序 | 例,5
html/subject/病理学/07_総論_先天異常_催奇形性.html,先天異常：催奇形性,I. 先天異常の概要,1,分類 | 原因 | 例,2
html/subject/病理学/07_総論_先天異常_催奇形性.html,先天異常：催奇形性,III. 催奇形因子,2,病原体 | 疾患 | 特徴,5
html/subject/病理学/07_総論_先天異常_催奇形性.html,先天異常：催奇形性,III. 催奇形因子,3,因子 | 影響,6
html/subject/病理学/09_総論_先天異常_染色体異常.html,先天異常：配偶子病・染色体異常,I. 染色体異常の分類,1,異常 | 定義,3
html/subject/病理学/14_総論_循環障害_塞栓症.html,循環障害：塞栓症,II. 塞栓症,2,塞栓の種類 | 内容,5
html/subject/病理学/14_総論_循環障害_塞栓症.html,循環障害：塞栓症,V. 抗血栓療法,5,薬剤 | 作用機序 | 適応,3
html/subject/病理学/16_総論_感染_細菌感染.html,感染：細菌感染,I. 細菌の分類,1,分類 | 特徴 | 例,3
html/subject/病理学/17_総論_炎症_化膿性炎.html,炎症：化膿性炎,IV. 口腔外科における化膿性炎,3,段階 | 特徴,4
html/subject/病理学/17_総論_炎症_化膿性炎.html,炎症：化膿性炎,IV. 口腔外科における化膿性炎,4,可能 | 困難,1
html/subject/病理学/18_総論_炎症_急性炎症の特徴.html,炎症：急性炎症の特徴,II. 炎症の5大徴候（Celsusの4徴候＋機能障害）,1,徴候 | 機序,5
html/subject/病理学/19_総論_炎症_滲出性炎.html,炎症：滲出性炎,III. 各滲出性炎の詳細,2,項目 | 内容,4
html/subject/病理学/19_総論_炎症_滲出性炎.html,炎症：滲出性炎,IV. 炎症の病理組織学的分類まとめ,6,大分類 | 種類,3
html/subject/病理学/20_総論_炎症_炎症の分類.html,炎症：炎症の分類,III. 特異性による分類,2,分類 | 特徴 | 例,2
html/subject/病理学/21_総論_炎症_炎症の症候.html,炎症：炎症の症候,IV. 全身性炎症反応症候群（SIRS）,3,項目 | 基準値,4
html/subject/病理学/22_総論_炎症_肉芽腫性炎.html,炎症：肉芽腫性炎,V. 肉芽腫 vs 肉芽組織,4, | 肉芽腫 | 肉芽組織,3
html/subject/病理学/23_総論_生体適応現象_化生.html,生体適応現象：化生,II. 化生の種類,2,種類 | 変化 | 例,3
html/subject/病理学/23_総論_生体適応現象_化生.html,生体適応現象：化生,IV. 生体適応現象の比較,4,現象 | 定義 | 例,4
html/subject/病理学/25_総論_病因論.html,病因論,II. 内因,2,種類 | 定義 | 例,2
html/subject/病理学/25_総論_病因論.html,病因論,III. 外因,3,種類 | 例,5
html/subject/病理学/27_総論_腫瘍総論_癌遺伝子と癌抑制遺伝子.html,腫瘍総論：癌遺伝子と癌抑制遺伝子,II. 癌遺伝子（オンコジーン）,2,遺伝子 | 機能 | 関連腫瘍,5
html/subject/病理学/30_嚢胞_嚢胞の構造.html,嚢胞の構造,I. 嚢胞壁の基本構造,0,構成要素 | 内容,3
html/subject/病理学/31_嚢胞_嚢胞の発生する組織.html,嚢胞の発生する組織,I. 発生原因による分類,0,発生原因 | 定義 | 例,4
html/subject/病理学/31_嚢胞_嚢胞の発生する組織.html,嚢胞の発生する組織,V. リンパ組織を伴う嚢胞・腫瘍,5,疾患 | 特徴,3
html/subject/病理学/33_腫瘍_口腔粘膜の良性腫瘍.html,口腔粘膜の良性腫瘍,III. 腫瘍類似疾患との鑑別,7,疾患 | 特徴 | 分類,3
html/subject/病理学/36_腫瘍_非上皮性悪性腫瘍.html,非上皮性悪性腫瘍,II. 骨・軟骨由来の悪性腫瘍,2,項目 | 内容,2
html/subject/病理学/37_口腔粘膜疾患_口腔扁平苔癬.html,口腔扁平苔癬,VI. 鑑別疾患,5,疾患 | 鑑別点,3
html/subject/病理学/38_口腔粘膜疾患_口腔潜在的悪性疾患.html,口腔潜在的悪性疾患,I. 概念と分類,0,用語 | 定義,3
html/subject/病理学/38_口腔粘膜疾患_口腔潜在的悪性疾患.html,口腔潜在的悪性疾患,II. 口腔潜在的悪性疾患の種類,1,疾患 | 癌化率 | 特徴,5
html/subject/病理学/40_唾液腺疾患_Sjögren症候群.html,Sjögren症候群,II. 分類,1,種類 | 特徴,2
html/subject/病理学/40_唾液腺疾患_Sjögren症候群.html,Sjögren症候群,III. 検査所見,2,検査 | 所見,2
html/subject/病理学/40_唾液腺疾患_Sjögren症候群.html,Sjögren症候群,III. 検査所見,3,検査 | 基準値,2
html/subject/病理学/40_唾液腺疾患_Sjögren症候群.html,Sjögren症候群,V. 口腔症状,6,症状 | 特徴,4
