# リンパ節 Q&A
@brushup: 2026-01-21

## その他の頭頸部リンパ節

Q: リンパ節の役割は？
A: 組織内に侵入した非自己異物を食作用で処理する免疫器官

Q: 頭頸部リンパの一般的な流れは？
A: オトガイ下リンパ節 → 顎下リンパ節 → 深頸リンパ節 → 胸管 → 左静脈角

Q: オトガイ下リンパ節の存在部位は？
A: オトガイ下隙（オトガイ下三角）

Q: オトガイ下リンパ節への流入領域は？
A: 下顎前歯、下唇、舌尖

Q: 顎下リンパ節の存在部位は？
A: 顎下隙（顎下三角）

Q: 顎下リンパ節への流入領域は？
A: 上顎・下顎（前歯・第三大臼歯部を除く）の歯と周囲組織、上唇、頬部、舌体部、硬口蓋前方部

Q: 顎下リンパ節に流入しない領域は？
A: 下顎前歯（オトガイ下）、第三大臼歯部付近（直接上深頸）

Q: 上深頸リンパ節の存在部位は？
A: 胸鎖乳突筋内側（肩甲舌骨筋より上）

Q: 下深頸リンパ節の存在部位は？
A: 頸動脈鞘付近（肩甲舌骨筋より下）

Q: 第三大臼歯部付近のリンパが流入するリンパ節は？
A: 直接上深頸リンパ節
   [混同注意] 顎下リンパ節を経由しない

Q: 耳下腺リンパ節の存在部位は？
A: 耳下腺隙

Q: 浅頸リンパ節は何に沿って存在する？
A: 外頸静脈

---

## 基礎知識（ワルダイエルの咽頭輪）

Q: ワルダイエルの咽頭輪とは？
A: 咽頭に存在する4つの扁桃が鼻腔・口腔の後方を取り囲むように配置されたもの

Q: 扁桃とは何か？
A: リンパ小節の集合体で、粘膜下に存在する免疫器官

Q: 咽頭扁桃の別名は？
A: アデノイド

Q: 咽頭扁桃の位置は？
A: 上咽頭の上壁〜後壁

Q: 咽頭扁桃が最大になる時期は？
A: 5〜6歳頃

Q: 耳管扁桃の位置は？
A: 耳管咽頭口周囲

Q: 口蓋扁桃の位置は？
A: 口蓋舌弓と口蓋咽頭弓の間（扁桃窩）

Q: 最も大きい扁桃は？
A: 口蓋扁桃

Q: 舌扁桃の位置は？
A: 舌根部（分界溝より後方）

---

## 基礎知識（胸管）

Q: 胸管の役割は？
A: 下半身と左上半身のリンパを集めるリンパ系の主管

Q: 胸管の起始は？
A: 乳び槽（第2腰椎付近）

Q: 胸管が静脈内に入る場所は？
A: 左静脈角（左鎖骨下静脈と内頸静脈の合流部）
