【患者教育 Q&A】

Q1. 新義歯に慣れるまでに必要な期間は？
A1. 通常1か月程度。

Q2. 新義歯装着時に生じる一時的な不都合を4つ挙げよ。
A2. ①唾液分泌量の増加、②異物感、③発語障害、④嘔吐反射

Q3. 摂食に関する指導の要点を3つ挙げよ。
A3. ①軟らかい食品を小さく切って摂取、②片側のみでの咀嚼を行わない、③時間をかけて行う

Q4. 義歯の機械的清掃の方法は？
A4. 義歯用ブラシを用いて流水下で刷掃する。歯磨剤は使用しない。

Q5. 義歯に歯磨剤を使用してはいけない理由は？
A5. 義歯床用レジンや人工歯を摩耗させ、不適合や変色の原因となるため。

Q6. 義歯性口内炎の起因菌は？
A6. Candida albicans（カンジダ・アルビカンス）

Q7. 義歯の化学的清掃が必要な理由は？
A7. Candida albicansは機械的清掃では完全には除去されないため。

Q8. 義歯洗浄剤の種類を3つ挙げよ。
A8. ①過酸化物系、②次亜塩素酸塩系、③酵素系

Q9. 最も広く使用されている義歯洗浄剤は？
A9. 過酸化物系。

Q10. 長期使用に適している義歯洗浄剤は？
A10. 酵素系。

Q11. 就寝時に義歯を外す目的を2つ挙げよ。
A11. ①義歯床下粘膜の安静化、②化学的清掃の時間確保

Q12. 就寝時に義歯を外した場合の保管方法は？
A12. 乾燥による変形を防止するため、義歯洗浄剤を入れた水中に保管する。

Q13. 就寝時に義歯装着を推奨する患者は？
A13. ①顎関節症患者、②下顎位が不安定な患者

Q14. 残存歯がある場合に就寝時に義歯装着を推奨する目的は？
A14. 残存歯の負担軽減、動揺歯のスプリンティング、対合顎堤の損傷防止。

Q15. 粘膜調整材で裏装した義歯の取り扱いで注意すべきことを3つ挙げよ。
A15. ①ペースト状の義歯安定剤は使用しない、②硬めのブラシでの清掃は避ける、③毎日義歯洗浄剤に浸ける

Q16. 口腔筋機能療法（MFT）とは何か？
A16. 口腔周囲筋のストレッチなどの運動訓練。口腔機能のリハビリテーションに用いる。

Q17. 定期的なリコールが必要な理由は？
A17. 顎堤吸収や人工歯の咬耗は不可避な経時的変化であり、無症状でも不適合が進行するため。

Q18. 義歯の長期使用に伴い発症しうる疾患を3つ挙げよ。
A18. ①フラビーガム、②義歯性線維腫、③義歯性口内炎
