【旧義歯の診査 Q&A】

Q1. 旧義歯の診査で評価すべき項目を5つ挙げよ。
A1. ①義歯床形態の観察、②義歯床粘膜面と顎堤粘膜の適合性、③咬合平面の位置と傾き、④咬合接触状態、⑤義歯の清掃状態

Q2. 義歯床縁からの慢性刺激が原因となる粘膜疾患は何か？
A2. 義歯性線維腫。義歯床縁からの持続的な刺激により発生する。

Q3. 義歯性線維腫の分類と治療法を述べよ。
A3. 肉芽型と線維型がある。肉芽型は義歯の形態修正により治癒することがあるが、線維型は外科的切除が必要。

Q4. 乳頭状過形成の原因は何か？
A4. 口蓋部への慢性刺激。義歯床縁ではなく口蓋部の病変である。

Q5. フラビーガムとは何か？
A5. 骨の裏打ちのない可動性の厚い顎堤粘膜。不安定な義歯による骨吸収と粘膜の過剰増殖が原因。

Q6. 口腔扁平苔癬は義歯床縁からの刺激で生じるか？
A6. 生じない。口腔扁平苔癬は自己免疫疾患であり、義歯とは無関係。

Q7. 口腔カンジダ症の原因は何か？
A7. 真菌（カンジダ）感染。義歯の不衛生な状態が誘因となることがある。

Q8. グルコース溶出量測定とは何か？
A8. グミゼリーなどの被験食品を咀嚼し、溶出したグルコース量（濃度）を測定して咀嚼能率を評価する直接検査法。

Q9. グルコース溶出量測定の手順を述べよ。
A9. ①グミゼリーを一定回数咀嚼、②被験試料を採取、③試験紙にグルコース濃度を滴下して測定。

Q10. 篩分法で評価する指標は何か？
A10. 平均粒径や断片数。被験食品を咀嚼後、篩にかけて粉砕度を測定する。

Q11. 咀嚼能率を直接評価する検査法を2つ挙げよ。
A11. ①篩分法、②グルコース溶出量測定

Q12. 義歯床粘膜面と顎堤粘膜の適合性を検査する方法は？
A12. 適合試験材（シリコーンゴム印象材など）を用いて適合検査を行う。

Q13. 旧義歯の咬合平面の評価で参照する解剖学的基準は？
A13. カンペル平面（鼻翼下縁と耳珠上縁を結ぶ平面）。咬合平面はカンペル平面と平行であるべき。

Q14. 義歯の清掃状態で観察するものを2つ挙げよ。
A14. ①デンチャープラーク、②歯石沈着物

Q15. 旧義歯の診査が重要な理由を述べよ。
A15. 義歯調整を行ううえで、また新たに義歯を製作する場合に、旧義歯の問題点を把握し改善点を明らかにするため。
