file,pageTitle,section,tableIndex,headers,rowCount
html/subject/小児歯科/01_成長・発育総論_情動の発達.html,情動の発達,歯科臨床との関連,2,年齢 | 恐れの特徴 | 対応のポイント,3
html/subject/小児歯科/01_成長・発育総論_成長発育の評価.html,成長発育の評価,年齢の分類,0,分類 | 定義 | 評価指標,2
html/subject/小児歯科/01_成長・発育総論_成長発育の評価.html,成長発育の評価,骨年齢の評価,1,年齢 | 化骨数 | 出現する骨,9
html/subject/小児歯科/01_成長・発育総論_成長発育の評価.html,成長発育の評価,体重・身長の発育,3,時期 | 身長 | 出生時比,3
html/subject/小児歯科/01_成長・発育総論_機能の発達.html,機能の発達,運動機能の発達,1,時期 | できるようになること,6
html/subject/小児歯科/01_成長・発育総論_機能の発達.html,機能の発達,口腔機能の発達,3,反射 | 刺激 | 反応,5
html/subject/小児歯科/01_成長・発育総論_機能の発達.html,機能の発達,離乳の発達,5,月齢 | 離乳段階 | 食形態 | 口腔機能,4
html/subject/小児歯科/02_頭蓋骨・歯・歯列の発育_歯の発育.html,歯の発育,歯の発生,0,由来 | 組織 | 形成物,3
html/subject/小児歯科/02_頭蓋骨・歯・歯列の発育_歯列の発育段階.html,歯列の発育段階,混合歯列期の特徴,3,機序 | 条件 | 説明,2
html/subject/小児歯科/02_頭蓋骨・歯・歯列の発育_頭蓋の成長.html,頭蓋の成長,骨の成長様式,0,成長様式 | 機序 | 部位,3
html/subject/小児歯科/03_小児の歯科治療_小児の薬用量.html,小児の薬用量,各算定法の詳細,1,算定法 | 計算式,2
html/subject/小児歯科/03_小児の歯科治療_歯の異常.html,歯の異常,過剰歯・埋伏歯の影響,1,影響 | 説明,4
html/subject/小児歯科/03_小児の歯科治療_治療計画.html,治療計画,治療部位の選択,0,優先順位 | 部位 | 理由,4
html/subject/小児歯科/03_小児の歯科治療_診査・診断.html,診査・診断,空隙歯列の原因,1,原因 | 機序,5
html/subject/小児歯科/04_小児の齲蝕・歯周疾患_乳歯齲蝕.html,乳歯齲蝕,歯冠崩壊乳歯の影響,1,影響 | 機序,3
html/subject/小児歯科/04_小児の齲蝕・歯周疾患_小児の歯周疾患.html,小児の歯周疾患,萌出性歯肉炎,0,部位 | 理由,3
html/subject/小児歯科/05_小児の歯冠修復_乳歯インレー修復.html,乳歯インレー修復,保持溝を付与する理由（頻出）,1,特徴 | 保持溝との関係,3
html/subject/小児歯科/05_小児の歯冠修復_乳歯用既製金属冠.html,乳歯用既製金属冠,支台歯形成（頻出）,0,形態 | 適応,2
html/subject/小児歯科/05_小児の歯冠修復_乳歯用既製金属冠.html,乳歯用既製金属冠,使用器材（頻出）,2,器材 | 用途,3
html/subject/小児歯科/06_小児の歯内療法_暫間的間接覆髄法.html,暫間的間接覆髄法,適応（頻出）,0,検査 | IPC法適応,4
html/subject/小児歯科/06_小児の歯内療法_暫間的間接覆髄法.html,暫間的間接覆髄法,不適応の目的（ひっかけ注意）,1,選択肢 | 正誤,3
html/subject/小児歯科/06_小児の歯内療法_生活歯髄切断法.html,生活歯髄切断法,適応（頻出）,0,項目 | 生活断髄の適応,4
html/subject/小児歯科/07_歯の外傷・外科的処置・軟組織疾患_外傷歯の処置.html,外傷歯の処置,副子（スプリント）の種類,0,副子 | 特徴,3
html/subject/小児歯科/08_咬合誘導_低位乳歯・骨性癒着.html,低位乳歯・骨性癒着,低位乳歯の影響,0,影響 | 内容,3
html/subject/小児歯科/08_咬合誘導_低位乳歯・骨性癒着.html,低位乳歯・骨性癒着,まとめ,1,項目 | 低位乳歯 | 外傷後の骨性癒着,5
html/subject/小児歯科/08_咬合誘導_保隙装置.html,保隙装置,保隙装置の分類,0,分類 | 装置名,2
html/subject/小児歯科/08_咬合誘導_保隙装置.html,保隙装置,クラウンループ（バンドループ）,1,項目 | 内容,4
html/subject/小児歯科/08_咬合誘導_保隙装置.html,保隙装置,ディスタルシュー,2,項目 | 内容,5
html/subject/小児歯科/08_咬合誘導_保隙装置.html,保隙装置,リンガルアーチ,3,項目 | 内容,4
html/subject/小児歯科/08_咬合誘導_保隙装置.html,保隙装置,可撤保隙装置,4,項目 | 内容,3
html/subject/小児歯科/08_咬合誘導_保隙装置.html,保隙装置,保隙装置の選択フローチャート,5,状況 | 適切な装置,6
html/subject/小児歯科/08_咬合誘導_口腔習癖.html,口腔習癖,口腔習癖の一覧と影響,0,習癖 | 好発時期 | 主な影響,7
html/subject/小児歯科/08_咬合誘導_口腔習癖.html,口腔習癖,習癖防止装置のまとめ,1,習癖 | 習癖防止装置,4
html/subject/小児歯科/08_咬合誘導_異所萌出.html,異所萌出,まとめ,0,状態 | 原因 | 処置,4
html/subject/小児歯科/09_治療時に留意すべき小児疾患_骨形成不全症.html,骨形成不全症,骨形成不全症（Osteogenesis Imperfecta）,0,所見 | 特徴,4
html/subject/小児歯科/09_治療時に留意すべき小児疾患_骨形成不全症.html,骨形成不全症,骨形成不全症（Osteogenesis Imperfecta）,1,所見 | 詳細,4
html/subject/小児歯科/09_治療時に留意すべき小児疾患_骨形成不全症.html,骨形成不全症,骨形成不全症（Osteogenesis Imperfecta）,2,疾患 | その他の特徴,2
html/subject/小児歯科/10_心身障害者（児）の歯科診療_その他の障害.html,その他の障害,過去問で実力チェック,1,障害 | 留意点,6
