【連結子 Q&A】

Q1. 連結子の分類を2つ挙げよ。
A1. 大連結子と小連結子

Q2. 大連結子の役割を4つ挙げよ。
A2. ①構成要素の連結・一体化、②咬合力や離脱力の伝達・配分、③義歯の安定性向上、④異物感の軽減

Q3. 大連結子の最も重要な必要条件は？
A3. 剛性（たわみがないこと）

Q4. 大連結子に弾力性のある材料を使うと生じる不都合を3つ挙げよ。
A4. ①床下粘膜負担圧の偏在、②咀嚼時の義歯安定の低下、③直接支台装置の負担増加

Q5. 上顎の大連結子の種類を6つ挙げよ。
A5. ①前パラタルバー、②中パラタルバー、③後パラタルバー、④馬蹄形バー、⑤パラタルストラップ、⑥パラタルプレート

Q6. 前パラタルバーの欠点は？
A6. 発音障害や異物感が出やすい

Q7. 中パラタルバーの設置位置は？
A7. 両側第二小臼歯付近で口蓋中央部を横走

Q8. 馬蹄形バーの適応は？
A8. 口蓋隆起がある場合

Q9. パラタルストラップの特徴を2つ挙げよ。
A9. ①0.7mm以下と薄くでき異物感が少ない、②支持の向上が期待できる

Q10. パラタルプレートの適応は？
A10. 遊離端欠損や多数歯欠損

Q11. 下顎の大連結子の種類を2つ挙げよ。
A11. リンガルバーとリンガルプレート

Q12. リンガルバーの設計基準は？
A12. 幅4〜5mm、厚さ2〜2.5mm、歯肉縁から3mm以上離す

Q13. リンガルバーの長所は？
A13. 自浄性に優れる（歯茎を健康に保ちやすい）

Q14. リンガルプレートの特徴は？
A14. 残存歯舌面まで薄く広く覆う。維持・安定・把持に優れるが、自浄性に劣る。

Q15. リンガルバーとリンガルプレートの比較で、リンガルバーが優れる点は？
A15. 自浄性、違和感の少なさ

Q16. 小連結子とは何か？
A16. 大連結子と支台装置や義歯床を連結する部分

Q17. 精密印象から得られる情報で大連結子に関するものは？
A17. 大連結子の外形（設計位置）
