# スケーリング Q&A

## Q1. スケーリングの定義を答えよ。
A1. 歯冠と歯根の表面に付着したプラーク・歯石・着色を除去する操作

## Q2. 歯肉縁上スケーリングに主に用いるスケーラーは？
A2. シックル型スケーラー、超音波スケーラー

## Q3. 歯肉縁下スケーリングに主に用いるスケーラーは？
A3. キュレット型スケーラー

## Q4. 超音波スケーラーの振動数は？
A4. 25,000〜42,000Hz/秒

## Q5. エアスケーラーの振動数は？
A5. 約6,000Hz/秒

## Q6. 超音波スケーラーの禁忌となる患者は？
A6. ペースメーカー装着患者

## Q7. Er:YAGレーザーの歯周治療における用途を4つ答えよ。
A7. 歯石除去、歯肉切開、肉芽組織の除去、メラニン色素の除去

## Q8. Er:YAGレーザーの適応外となる処置は？
A8. 瘻孔の閉鎖（瘻孔は原因除去により自然閉鎖する）

## Q9. スケーリング後に発現しやすい症状を2つ答えよ。
A9. 歯の動揺、象牙質知覚過敏症

## Q10. 象牙質知覚過敏症の症状の特徴は？
A10. 露出根面に一過性の接触痛と冷水痛を認める（自発痛はない）

## Q11. 象牙質知覚過敏症への対応を3つ答えよ。
A11. 口腔清掃指導、知覚過敏処置剤の塗布、接着性レジンによる被覆

## Q12. 知覚過敏がある歯にルートプレーニングを行うとどうなるか？
A12. セメント質をさらに除去するため、知覚過敏が悪化する可能性がある

## Q13. 超音波スケーラー使用時のチップと歯面のなす角度は？
A13. 5〜15°

## Q14. シックル型スケーラーの刃部の形態的特徴は？
A14. 先端が尖った鎌型

## Q15. キュレット型スケーラーの刃部の形態的特徴は？
A15. 先端が丸みを帯びた匙型
