# 自律神経節 Q&A
@brushup: 2026-01-21

## 自律神経の概要

Q: 自律神経の2種類は？
A: 交感神経、副交感神経

Q: 副交感神経が産生する唾液の性状は？
A: 漿液性（水分多い）

Q: 交感神経が産生する唾液の性状は？
A: 粘性（少量）

Q: 副交感神経の伝達物質は？
A: アセチルコリン

Q: 交感神経の伝達物質は？
A: ノルアドレナリン

---

## 頭頸部の4つの副交感神経節

Q: 頭頸部の副交感神経節の数は？
A: 4つ

Q: 頭頸部の副交感神経節を全て挙げると？
A: 毛様体神経節、翼口蓋神経節、顎下神経節、耳神経節

Q: 毛様体神経節の存在部位は？
A: 眼窩内

Q: 毛様体神経節が所属する三叉神経は？
A: 眼神経（V1）

Q: 毛様体神経節の節前線維は？
A: 動眼神経（III）

Q: 毛様体神経節が支配する効果器は？
A: 毛様体筋、瞳孔括約筋

Q: 翼口蓋神経節の存在部位は？
A: 翼口蓋窩

Q: 翼口蓋神経節が所属する三叉神経は？
A: 上顎神経（V2）

Q: 翼口蓋神経節の節前線維は？
A: 大錐体神経（顔面神経由来）

Q: 翼口蓋神経節が支配する効果器は？
A: 涙腺、口蓋腺、鼻腺

Q: 顎下神経節の存在部位は？
A: 舌下隙（舌神経に付属）

Q: 顎下神経節が所属する三叉神経は？
A: 下顎神経（V3）

Q: 顎下神経節の節前線維は？
A: 鼓索神経（顔面神経由来）

Q: 顎下神経節が支配する効果器は？
A: 顎下腺、舌下腺

Q: 耳神経節の存在部位は？
A: 卵円孔下方

Q: 耳神経節が所属する三叉神経は？
A: 下顎神経（V3）

Q: 耳神経節の節前線維は？
A: 小錐体神経（舌咽神経由来）

Q: 耳神経節が支配する効果器は？
A: 耳下腺

---

## 副交感神経の起始核

Q: 動眼神経副核（Edinger-Westphal核）の位置は？
A: 中脳

Q: 動眼神経副核が支配する神経節は？
A: 毛様体神経節

Q: 上唾液核の位置は？
A: 橋

Q: 上唾液核から出る脳神経は？
A: 顔面神経（VII）

Q: 上唾液核が支配する神経節は？
A: 翼口蓋神経節、顎下神経節

Q: 下唾液核の位置は？
A: 延髄

Q: 下唾液核から出る脳神経は？
A: 舌咽神経（IX）

Q: 下唾液核が支配する神経節は？
A: 耳神経節

Q: 迷走神経背側核の位置は？
A: 延髄

Q: 迷走神経背側核が支配する神経節は？
A: 内臓壁内神経節

---

## 頸部の交感神経節

Q: 頸部交感神経節で最大のものは？
A: 上頸神経節

Q: 上頸神経節の役割は？
A: 頭頸部への交感神経の中継点

Q: 中頸神経節の位置は？
A: 第6頸椎付近

Q: 下頸神経節の位置は？
A: 第7頸椎付近

Q: 星状神経節とは？
A: 下頸神経節と第1胸神経節が融合したもの

Q: 交感神経の節前線維が出る部位は？
A: 胸髄・上部腰髄
   [混同注意] 頭頸部への交感神経も胸髄から出る

---

## 副交感神経節と感覚神経節の違い

Q: 副交感神経節に該当するものは？
A: 毛様体神経節、翼口蓋神経節、顎下神経節、耳神経節

Q: 感覚神経節に該当するものは？
A: 三叉神経節、膝神経節（顔面神経）、らせん神経節（内耳神経）
   [混同注意] 膝神経節は副交感神経節ではない

Q: 交感神経節に該当するものは？
A: 上頸神経節、星状神経節
   [混同注意] 上頸神経節は副交感神経節ではない

---

## 覚え方のポイント

Q: 顔面神経が支配する副交感神経節の数は？
A: 2つ（翼口蓋神経節、顎下神経節）

Q: 舌咽神経が支配する副交感神経節の数は？
A: 1つ（耳神経節）

Q: 耳下腺を支配するのは顔面神経と舌咽神経のどちら？
A: 舌咽神経

Q: 顎下腺・舌下腺を支配するのは顔面神経と舌咽神経のどちら？
A: 顔面神経
