file,pageTitle,section,tableIndex,headers,rowCount
html/subject/冠橋義歯学/01_クラウンブリッジの要件と構成要素_力学的要件.html,力学的要件,I. 力学的要件とは,0,要件 | 内容,4
html/subject/冠橋義歯学/01_クラウンブリッジの要件と構成要素_力学的要件.html,力学的要件,II. 保持力に関わる因子,1,因子 | 内容,4
html/subject/冠橋義歯学/01_クラウンブリッジの要件と構成要素_力学的要件.html,力学的要件,IV. 各要件の分類【試験頻出】,2,要件 | 該当項目,4
html/subject/冠橋義歯学/01_クラウンブリッジの要件と構成要素_生物学的要件.html,生物学的要件,I. クラウンブリッジの要件,0,要件 | 内容,3
html/subject/冠橋義歯学/01_クラウンブリッジの要件と構成要素_生物学的要件.html,生物学的要件,II. 生物学的要件の詳細,1,項目 | 内容,4
html/subject/冠橋義歯学/01_クラウンブリッジの要件と構成要素_生物学的要件.html,生物学的要件,II. 生物学的要件の詳細,2,部位 | 接触点の位置,2
html/subject/冠橋義歯学/01_クラウンブリッジの要件と構成要素_要件.html,クラウンブリッジの要件,I. 歯の欠損による障害,0,障害 | 内容,3
html/subject/冠橋義歯学/01_クラウンブリッジの要件と構成要素_要件.html,クラウンブリッジの要件,I. 歯の欠損による障害,1,障害 | 内容,4
html/subject/冠橋義歯学/02_冠_オールセラミッククラウン.html,オールセラミッククラウン,II. 利点と欠点【試験頻出】,1,項目 | 内容,4
html/subject/冠橋義歯学/02_冠_オールセラミッククラウンの製作.html,オールセラミッククラウンの製作,II. CAD/CAMシステム【試験頻出】,1,タイプ | 特徴 | 代表例,2
html/subject/冠橋義歯学/02_冠_オールセラミックブリッジ.html,オールセラミックブリッジ,II. 利点【試験頻出】,0,項目 | 内容,5
html/subject/冠橋義歯学/02_冠_オールセラミックブリッジ.html,オールセラミックブリッジ,III. 欠点・注意点,1,項目 | 内容,4
html/subject/冠橋義歯学/02_冠_一部被覆冠.html,一部被覆冠（部分被覆冠）,II. 部分被覆冠の種類,2,利点 | 欠点,1
html/subject/冠橋義歯学/02_冠_一部被覆冠.html,一部被覆冠（部分被覆冠）,IV. 保持形態,3,形態 | 内容,4
html/subject/冠橋義歯学/02_冠_冠の選択.html,冠の選択,IV. 各クラウンの適応症まとめ,3,クラウン | 主な適応 | 注意点,4
html/subject/冠橋義歯学/02_冠_前装冠.html,前装冠,I. 前装冠の種類,0,種類 | 前装材料 | 別名,2
html/subject/冠橋義歯学/02_冠_前装冠.html,前装冠,II. 陶材焼付金属冠 vs レジン前装冠【試験頻出】,2,項目 | 内容,4
html/subject/冠橋義歯学/04_ブリッジ_ブリッジの設計.html,ブリッジの設計,I. 設計の基本原則,0,歯種 | 1 | 2 | 3 | 4 | 5 | 6 | 7,2
html/subject/冠橋義歯学/04_ブリッジ_半固定性ブリッジ.html,半固定性ブリッジ,I. 定義と構造,0,構成要素 | 位置 | 形態,2
html/subject/冠橋義歯学/04_ブリッジ_可撤性ブリッジ.html,可撤性ブリッジ,I. 定義と構造,0,装置 | 特徴,3
