file,pageTitle,section,tableIndex,headers,rowCount
html/subject/必修/01_医の倫理と歯科医師のプロフェッショナリズム_歯科医師と患者・家族との関係.html,歯科医師と患者・家族との関係,セカンドオピニオン,1,行うこと | 行わないこと,3
html/subject/必修/02_社会と歯科医療_チーム医療.html,チーム医療,チーム医療の本質,0,正しい | 誤り,5
html/subject/必修/02_社会と歯科医療_保健・医療・福祉・介護の制度と医療経済.html,保健・医療・福祉・介護の制度と医療経済,国民医療費,2,含まれる | 含まれない,4
html/subject/必修/02_社会と歯科医療_医療の質の確保.html,医療の質の確保,クリニカルパス,0,作成されるもの | 作成されないもの,1
html/subject/必修/02_社会と歯科医療_医療事故の防止.html,医療事故の防止,リスクマネージメント,2,適切 | 不適切,4
html/subject/必修/02_社会と歯科医療_医療裁判.html,医療裁判,医療紛争の解決方法,2,方法 | 特徴,4
html/subject/必修/02_社会と歯科医療_医療裁判.html,医療裁判,医師・歯科医師の義務と責任の根拠,3,義務 | 根拠法,4
html/subject/必修/02_社会と歯科医療_患者・障害者のもつ心理社会的問題と背景.html,患者・障害者のもつ心理社会的問題と背景,ノーマライゼーション,0,概念 | 対象 | 内容,2
html/subject/必修/02_社会と歯科医療_臨床試験・治験と倫理.html,臨床試験・治験と倫理,臨床試験に関する基準,0,略称 | 正式名称 | 内容,2
html/subject/必修/02_社会と歯科医療_臨床試験・治験と倫理.html,臨床試験・治験と倫理,臨床試験の流れ,1,相 | 対象 | 目的,4
html/subject/必修/02_社会と歯科医療_院内感染対策.html,院内感染対策,手指衛生,1,方法 | 適応,2
html/subject/必修/06_主要な疾患と障害の病因・病態_口腔・顎顔面領域の疾患と障害の概念.html,口腔・顎顔面領域の疾患と障害の概念,根尖性歯周炎,2,疾患 | 打診痛 | 自発痛 | X線所見,4
html/subject/必修/06_主要な疾患と障害の病因・病態_口腔・顎顔面領域の疾患と障害の概念.html,口腔・顎顔面領域の疾患と障害の概念,嚢胞,5,原因 | 嚢胞,3
html/subject/必修/06_主要な疾患と障害の病因・病態_疾病の概念.html,疾病の概念,炎症,0,分類 | 種類 | 特徴,7
html/subject/必修/07_主要症候_全身的疾患に関連する口腔症候.html,全身的疾患に関連する口腔症候,出血傾向を示す疾患,1,原因 | 代表疾患 | 特徴,3
