# 降圧薬 Q&A

## レニン-アンジオテンシン系（RAS）

Q: レニンを分泌する部位は？
A: 腎臓（傍糸球体細胞）

Q: レニンが作用する基質は？
A: アンジオテンシノーゲン

Q: レニンの作用でアンジオテンシノーゲンから何が生成される？
A: アンジオテンシンⅠ

Q: アンジオテンシンⅠをアンジオテンシンⅡに変換する酵素は？
A: ACE（アンジオテンシン変換酵素）

Q: アンジオテンシンⅡが結合する受容体は？
A: AT1受容体

Q: アンジオテンシンⅡの作用は？（2つ）
A: 血管収縮、アルドステロン分泌促進

---

## 降圧薬の分類

Q: Ca拮抗薬の代表的薬物は？（2つ）
A: ニフェジピン、アムロジピン

Q: Ca拮抗薬の作用機序は？
A: 血管平滑筋のCaチャネル阻害→血管拡張

Q: ACE阻害薬の代表的薬物は？（2つ）
A: カプトプリル、エナラプリル

Q: ACE阻害薬の作用機序は？
A: ACE阻害→アンジオテンシンⅠ→Ⅱ変換抑制

Q: ARBの代表的薬物は？（2つ）
A: ロサルタン、バルサルタン

Q: ARBの作用機序は？
A: アンジオテンシンⅡ受容体（AT1）阻害

Q: β遮断薬の代表的薬物は？（2つ）
A: プロプラノロール、アテノロール

Q: β遮断薬の作用機序は？（2つ）
A: β受容体阻害→心拍出量低下、レニン分泌低下

Q: α1遮断薬の代表的薬物は？（2つ）
A: プラゾシン、ドキサゾシン

Q: α1遮断薬の作用機序は？
A: α1受容体阻害→血管拡張

Q: 利尿薬の代表的薬物は？（2つ）
A: フロセミド、ヒドロクロロチアジド

Q: 利尿薬の降圧機序は？
A: Na・水排泄促進→循環血液量低下

---

## ACE阻害薬

Q: ACE阻害薬の副作用で最も特徴的なものは？
A: 空咳

Q: ACE阻害薬で空咳が起こる機序は？
A: ブラジキニン蓄積

Q: ACE阻害薬の副作用で歯科に関連するものは？
A: 味覚障害

Q: ACE阻害薬が禁忌となる患者は？
A: 妊婦（催奇形性）

---

## ARB（AⅡ受容体拮抗薬）

Q: ARBがACE阻害薬より優れている点は？
A: 空咳が少ない

Q: ARBの「R」は何の略？
A: Receptor（受容体）
   [混同注意] ARB = Angiotensin Receptor Blocker

---

## Ca拮抗薬

Q: Ca拮抗薬が阻害するCaチャネルの型は？
A: L型Caチャネル

Q: Ca拮抗薬の副作用で歯科に関連するものは？
A: 歯肉増殖症

Q: Ca拮抗薬の副作用で皮膚に関連するものは？（2つ）
A: 顔面紅潮、浮腫

---

## β遮断薬

Q: β遮断薬が禁忌となる呼吸器疾患は？
A: 気管支喘息

Q: β遮断薬が気管支喘息に禁忌である理由は？
A: β2遮断による気管支収縮

Q: β遮断薬が心臓に作用する受容体は？
A: β1受容体

---

## 歯科で注意すべき副作用

Q: 歯肉増殖症を起こす降圧薬は？
A: Ca拮抗薬（ニフェジピン、ベラパミル）

Q: 味覚障害を起こす降圧薬は？
A: ACE阻害薬（カプトプリル）

Q: 口腔乾燥症を起こす降圧薬は？
A: 利尿薬

---

## まとめ：降圧薬の作用点

Q: 心拍出量を低下させる降圧薬は？
A: β遮断薬

Q: レニン分泌を抑制する降圧薬は？
A: β遮断薬

Q: アンジオテンシンⅠ→Ⅱ変換を抑制する降圧薬は？
A: ACE阻害薬

Q: AT1受容体を阻害する降圧薬は？
A: ARB

Q: 血管平滑筋のCaチャネルを阻害する降圧薬は？
A: Ca拮抗薬

Q: 血管平滑筋のα1受容体を阻害する降圧薬は？
A: α1遮断薬

---

## 過去問で確認

[111D37] ★★★
Q: アンジオテンシンⅠ→Ⅱへの変換を抑制する降圧薬は？
A: ACE阻害薬

[他の選択肢との違い]
- β遮断薬：心臓β1受容体阻害、レニン分泌抑制
- α1遮断薬：血管α1受容体阻害→血管拡張
- Ca拮抗薬：血管平滑筋Caチャネル阻害→血管拡張
- ACE阻害薬：ACE阻害→AⅠ→AⅡ変換抑制 ← 正解
- AⅡ受容体拮抗薬（ARB）：AⅡのAT1受容体への結合を阻害 ← ひっかけ

[ポイント]
RASの流れを覚える：
アンジオテンシノーゲン →（レニン）→ AⅠ →（ACE）→ AⅡ → AT1受容体
- ACE阻害薬：AⅠ→AⅡの変換を阻害
- ARB：AⅡがAT1受容体に結合するのを阻害
