【ゴシックアーチ Q&A】

Q1. ゴシックアーチ描記法とは何か？
A1. 水平的顎間関係の記録法の1つ。下顎の左右の側方限界運動の軌跡を描記させ、水平的な顎間関係の決定や診断を行う方法。

Q2. ゴシックアーチ描記法で記録するのは垂直的顎間関係か水平的顎間関係か？
A2. 水平的顎間関係。

Q3. ゴシックアーチ描記装置の構成要素を2つ挙げよ。
A3. ①セントラルベアリングデバイス（スクリューとテーブル）、②描記装置（描記針と描記板）

Q4. 口内描記法と口外描記法の違いは？
A4. 口内描記法は安定性に優れるが描記図が小さい。口外描記法は運動軌跡を直接観察できるが安定性に欠ける。

Q5. アペックスとは何か？
A5. ゴシックアーチの頂点。下顎が最後退位にあるときの位置を示す。

Q6. タッピングポイントとは何か？
A6. タッピング運動（開閉口運動）時の接触点。

Q7. 正常なゴシックアーチ描記図の条件を3つ挙げよ。
A7. ①アペックスが明瞭に描かれている、②タッピングポイントが1点に収束、③両者が一致または近接（0.5〜1.0mm）

Q8. フェイスボウの目的は何か？
A8. 顎関節と上顎歯列の位置関係を咬合器に再現すること。

Q9. フェイスボウトランスファーの後方基準点は？
A9. 外耳孔または顆頭点。

Q10. フェイスボウトランスファーでHIP平面に最も平行になる前方基準点は？
A10. 鼻翼下縁。カンペル平面を基準とし、HIP平面に最も平行になる。

Q11. 眼窩下点を前方基準点にすると何平面を基準とするか？
A11. フランクフルト平面。

Q12. ゴシックアーチ描記後に行う処置を2つ挙げよ。
A12. ①人工歯選択、②矢状顆路傾斜角の設定（チェックバイトによる）

Q13. 仮想咬合平面の設定はゴシックアーチ描記の前か後か？
A13. 前。仮想咬合平面の設定は垂直的顎間関係の記録時に行う。

Q14. ゴシックアーチトレーサーの用途は？
A14. 水平的顎間関係の記録。

Q15. チェックバイトの用途は？
A15. 矢状顆路傾斜角の設定。

Q16. パントグラフの用途は？
A16. 下顎運動の記録。

Q17. FGPテクニックとは何か？
A17. 機能的に生成された咬合経路を用いて咬合面形態を製作する方法。

Q18. HIP平面とカンペル平面の関係は？
A18. ほぼ平行である。

Q19. 全部床義歯製作の順序で、ゴシックアーチ描記は咬合器装着の前か後か？
A19. 前。ゴシックアーチで水平的顎間関係を記録してから咬合器に装着する。

Q20. アペックスとタッピングポイントが離れている場合、何が疑われるか？
A20. 習慣性の偏心咬合位や咬合の不安定さが疑われる。
