【咬合床 Q&A】

Q1. 咬合床の意義は何か？
A1. 無歯顎患者は指標になる歯が存在しないため、咬合床にて上下顎の三次元的空間位置関係を記録し、咬合器上に転写して義歯を製作する。

Q2. 咬合床の構成要素を2つ挙げよ。
A2. ①基礎床（常温重合レジン）、②咬合堤（パラフィンワックス）

Q3. 基礎床の役割は何か？
A3. 咬合床の基底部をなし、咬合堤を支える部分。外形は最終義歯に準じる。

Q4. 基礎床に求められる性質を3つ挙げよ。
A4. ①機械的性質（顎間記録、ろう義歯試適、ゴシックアーチ描記に耐える）、②適合性、③最終義歯に準じた外形

Q5. 咬合堤（ろう堤）の役割は何か？
A5. 仮想咬合平面、垂直的顎間関係（咬合高径）、水平的顎間関係を調整・記録する部分。

Q6. 咬合堤の材料は何か？
A6. パラフィンワックス。基礎床の上に歯列弓を想定して堤状に製作される。

Q7. 咬合床製作後、最初に行う顎間関係の記録は何か？
A7. 垂直的顎間関係の計測（咬合高径の決定）。

Q8. 水平的顎間関係の記録は垂直的顎間関係の決定の前か後か？
A8. 後。垂直的顎間関係（咬合高径）を決定してから、水平的顎間関係を記録する。

Q9. 全部床義歯の製作順序を述べよ（印象採得後）。
A9. 作業用模型製作→咬合床製作→垂直的顎間関係の計測→水平的顎間関係の記録→咬合器装着→人工歯排列→ろう義歯試適→埋没・重合→義歯装着

Q10. 作業用模型の調整で行うことは？
A10. 模型基底面が仮想咬合平面とほぼ平行になるように調整する。

Q11. 咬合床製作時に記入する基準線を2つ挙げよ。
A11. ①歯槽頂線（人工歯排列の基準）、②正中線

Q12. 上顎の正中線の参考となる解剖学的指標を3つ挙げよ。
A12. ①上唇小帯、②切歯乳頭、③正中口蓋縫合線

Q13. 下顎の正中線の参考となる解剖学的指標を3つ挙げよ。
A13. ①下唇小帯、②舌小帯、③左右レトロモラーパッドの中点

Q14. 歯槽頂線とは何か？
A14. 歯の喪失後に生じる歯槽突起の骨改造によって鞍状に変化した顎堤の頂上を結ぶ線。人工歯排列の基準となる。

Q15. 咬合床製作時のブロックアウトとリリーフの注意点は？
A15. 過度なブロックアウトやリリーフは咬合床の安定を妨げるので必要最小限にとどめる。
