file,pageTitle,section,tableIndex,headers,rowCount
html/subject/口腔衛生/02_口腔環境と予防_PMTC.html,PMTC,PMTCで使用する器具,0,器具 | 用途,5
html/subject/口腔衛生/02_口腔環境と予防_PMTC.html,PMTC,PMTCの手順,1,順序 | 内容,5
html/subject/口腔衛生/02_口腔環境と予防_ペリクル.html,ペリクル（獲得被膜）,ペリクルとは,0,成分 | 特徴,5
html/subject/口腔衛生/02_口腔環境と予防_ペリクル.html,ペリクル（獲得被膜）,ペリクルの機能（両面性）,1,機能 | 説明,4
html/subject/口腔衛生/02_口腔環境と予防_ミュータンスレンサ球菌.html,ミュータンスレンサ球菌,概要,0,菌種 | 検出率 | 特徴,2
html/subject/口腔衛生/02_口腔環境と予防_ミュータンスレンサ球菌.html,ミュータンスレンサ球菌,S. mutansの4つの病原因子,1,酵素 | 別名 | 産生物,3
html/subject/口腔衛生/02_口腔環境と予防_ミュータンスレンサ球菌.html,ミュータンスレンサ球菌,S. mutansによる齲蝕発生機序,2,順序 | 過程 | 関与因子,5
html/subject/口腔衛生/02_口腔環境と予防_ミュータンスレンサ球菌.html,ミュータンスレンサ球菌,関連する齲蝕原性細菌,3,細菌 | 関連する齲蝕,3
html/subject/口腔衛生/02_口腔環境と予防_歯の着色.html,歯の着色,外因性着色,0,原因 | 色調 | 特徴,4
html/subject/口腔衛生/02_口腔環境と予防_歯の着色.html,歯の着色,外因性着色,1,金属 | 色調,2
html/subject/口腔衛生/02_口腔環境と予防_歯の着色.html,歯の着色,内因性着色,2,原因 | 色調 | 特徴,6
html/subject/口腔衛生/02_口腔環境と予防_歯磨剤・洗口液の組成.html,歯磨剤・洗口液の組成,歯磨剤の分類,0,分類 | 特徴,2
html/subject/口腔衛生/02_口腔環境と予防_歯磨剤・洗口液の組成.html,歯磨剤・洗口液の組成,歯磨剤の基本成分,1,成分 | 役割 | 例,5
html/subject/口腔衛生/02_口腔環境と予防_歯磨剤・洗口液の組成.html,歯磨剤・洗口液の組成,薬用成分と効果（超頻出）,2,成分 | 機序,2
html/subject/口腔衛生/02_口腔環境と予防_歯磨剤・洗口液の組成.html,歯磨剤・洗口液の組成,薬用成分と効果（超頻出）,3,成分 | 特徴,4
html/subject/口腔衛生/02_口腔環境と予防_歯磨剤・洗口液の組成.html,歯磨剤・洗口液の組成,薬用成分と効果（超頻出）,4,成分 | 効果,2
html/subject/口腔衛生/02_口腔環境と予防_歯磨剤・洗口液の組成.html,歯磨剤・洗口液の組成,薬用成分と効果（超頻出）,5,成分 | 機序,1
html/subject/口腔衛生/02_口腔環境と予防_歯磨剤・洗口液の組成.html,歯磨剤・洗口液の組成,薬用成分と効果（超頻出）,6,成分 | 効果,4
html/subject/口腔衛生/02_口腔環境と予防_歯磨剤・洗口液の組成.html,歯磨剤・洗口液の組成,洗口液の主要成分,7,成分 | 効果,6
html/subject/口腔衛生/02_口腔環境と予防_禁煙指導.html,禁煙指導,喫煙の害と口腔への影響,1,疾患 | 機序,4
html/subject/口腔衛生/02_口腔環境と予防_禁煙指導.html,禁煙指導,禁煙支援の方法,2,5A's | 内容,5
html/subject/口腔衛生/03_齲蝕の予防とフッ素_ステファン曲線.html,ステファン曲線,糖質によるpH変化の違い,0,糖質 | 分類 | pH低下,6
html/subject/口腔衛生/03_齲蝕の予防とフッ素_ステファン曲線.html,ステファン曲線,糖質によるpH変化の違い,1,物質 | 分類 | pH低下,6
html/subject/口腔衛生/03_齲蝕の予防とフッ素_フッ化物の誤飲による急性中毒.html,フッ化物の誤飲による急性中毒,関連知識：慢性中毒との違い,2,種類 | 原因 | 症状,2
html/subject/口腔衛生/03_齲蝕の予防とフッ素_フッ化物応用法.html,フッ化物応用法,フッ化物応用法の分類,0,分類 | 方法 | 濃度 | 特徴,5
html/subject/口腔衛生/03_齲蝕の予防とフッ素_フッ化物応用法.html,フッ化物応用法,齲蝕予防に用いる適切な濃度,2,用途 | 適切な濃度 | 不適切な例,3
html/subject/口腔衛生/03_齲蝕の予防とフッ素_フッ化物歯面塗布.html,フッ化物歯面塗布,フッ化物歯面塗布剤の種類,0,種類 | 濃度 | pH | 特徴,4
html/subject/口腔衛生/03_齲蝕の予防とフッ素_代用甘味料.html,代用甘味料,代用甘味料の分類,0,甘味料 | 原材料 | 齲蝕原性,4
